uid,userName,firstName,lastName,password,email,userStatus,userType,userRole
user1,dvusertest1,John,Doe,Test1234,dvusertest1@ericsson.com,enabled,enmUser,ADMIN
user2,dvusertest2,John,Doe,Test1234,dvusertest2@ericsson.com,enabled,enmUser,ADMIN
user3,dvusertest3,John,Doe,Test1234,dvusertest3@ericsson.com,enabled,enmUser,ADMIN
user4,dvusertest4,John,Doe,Test1234,dvusertest4@ericsson.com,enabled,enmUser,AMOSOPE
user5,dvusertest5,John,Doe,Test1234,dvusertest5@ericsson.com,enabled,enmUser,CMEDITADMIN
user6,dvusertest6,John,Doe,Test1234,dvusertest6@ericsson.com,enabled,enmUser,CMEDITOPE
user7,dvusertest7,John,Doe,Test1234,dvusertest7@ericsson.com,enabled,enmUser,FIELDTECH
user8,dvusertest8,John,Doe,Test1234,dvusertest8@ericsson.com,enabled,enmUser,FMADMIN
user9,dvusertest9,John,Doe,Test1234,dvusertest9@ericsson.com,enabled,enmUser,FMOPE
user10,dvusertest10,John,Doe,Test1234,dvusertest10@ericsson.com,enabled,enmUser,NETEXTADMIN
user11,dvusertest11,John,Doe,Test1234,dvusertest11@ericsson.com,enabled,enmUser,NETEXTOPE
user12,dvusertest12,John,Doe,Test1234,dvusertest12@ericsson.com,enabled,enmUser,OPERATOR
user13,dvusertest13,John,Doe,Test1234,dvusertest13@ericsson.com,enabled,enmUser,SECADMIN
user14,dvusertest14,John,Doe,Test1234,dvusertest14@ericsson.com,enabled,enmUser,SHMADMIN
user15,dvusertest15,John,Doe,Test1234,dvusertest15@ericsson.com,enabled,enmUser,SHMOPE
user16,dvusertest16,John,Doe,Test1234,dvusertest16@ericsson.com,enabled,enmUser,TOPBROWADMIN
user17,dvusertest17,John,Doe,Test1234,dvusertest17@ericsson.com,enabled,enmUser,TOPBROWOPE
